2010;main;Andrian Marcus;Wayne State University;USA;;
2010;main;Radu Marinescu;Politehnica University of Timisoara;Romania;;
2010;main;Kim Mens;Université Catholique de Louvain;Belgium;;
2010;main;Leon Moonen;Simula Research Laboratory;Norway;;
2010;main;Liam O'Brien;National ICT;Australia;;
2010;main;Martin Pinzger;Delft University of Technology;The Netherlands;;
2010;main;Denys Poshyvanyk;William and Mary;USA;;
2010;main;Vaclav Rajlich;Wayne State University;USA;;
2010;main;Filippo Ricca;University of Genova;Italy;;
2010;main;José L. Ruiz;Indra;Spain;;
2010;main;Alexander Serebrenik;Technical University Eindhoven;The Netherlands;;
2010;main;Dennis Smith;Software Engineering Institute;Carnegie Mellon;Pittsburgh;USA
2010;main;Harry Sneed;Germany;;;
2010;main;Diomidis Spinellis;Athens University of Economics and Business;Greece;;
2010;main;Eleni Stroulia;University of Alberta;Canada;;
2010;main;Ladan Tahvildari;University of Waterloo;Canada;;
2010;main;Christos Tjortjis;University of Manchester;UK;;
2010;main;Mircea Trifu;FZI Forschungszentrum Informatik;Germany;;
2010;main;Mark G. J. van den Brand;Technical University Eindhoven;The Netherlands;;
2010;main;Chris Verhoef;VU Amsterdam;The Netherlands;;
2010;main;Joost Visser;SIG;The Netherlands;;
2010;main;Hongji Yang;De Montfort University;UK;;
2010;main;Thomas Zimmermann;University of Calgary;Canada;;
2009;main;Jens Knodel;Fraunhofer IESE;Kaiserslautern;Germany;
2009;main;Rudolf Ferenc;University of Szeged;Hungary;;
2009;main;Andreas Winter;University of Koblenz-Landau;Germany;;
2009;main;Nicolas Anquetil;Universidade Catolica de Brasilia;Brazil;;
2009;main;Maria Teresa Baldassarre;University of Bari;Italy;;
2009;main;Francoise Balmas;Universite Paris 8;France;;
2009;main;Árpád Beszédes;University of Szeged;Hungary;;
2009;main;Jens Borchers;Steria Mummert;Germany;;
2009;main;Fernando Brito e Abreu;Universidade Nova de Lisboa;Portugal;;
2009;main;Danilo Caivano;University of Bari;Italy;;
2009;main;Jim Cordy;Queen's University;Canada;;
2009;main;Tom Dean;Queen's University;Canada;;
2009;main;Andrea De Lucia;Universita degli Studi di Salerno;Italy;;
2009;main;Giuseppe Antonio di Lucca;University of Sannio;RCOST;Benevento;Italy
2009;main;Damiano Distante;Universita Telematica TELMA;Italy;;
2009;main;Jürgen Ebert;University of Koblenz-Landau;Germany;;
2009;main;Anna Rita Fasolino;University of Naples Federico II;Italy;;
2009;main;Jean-Marie Favre;University of Grenoble;France;;
2009;main;Rainer Gimnich;IBM Frankfurt;Germany;;
2009;main;Nicolas Gold;Department of Computer Science King's College London;UK;;
2009;main;Tibor Gyimothy;University of Szeged;Hungary;;
2009;main;Mark Harman;King's College London;UK;;
2009;main;Wilhelm Hasselbring;Christian-Albrechts-University Kiel;Germany;;
2009;main;Shihong Huang;Florida Atlantic University;USA;;
2009;main;Dean Jin;University of Manitoba;Canada;;
2009;main;Yannis Kanellopoulos;Software Improvement Group;Amsterdam;The Netherlands;
2009;main;Holger M. Kienle;University of Victoria;Canada;;
2009;main;Rainer Koschke;University of Bremen;Germany;;
2009;main;Kostas Kontogiannis;National Technical University of Athens;Greece;;
2009;main;René Krikhaar;Vrije Universiteit Amsterdam;The Netherlands;;
2009;main;Jens Krinke;King's College London;UK;;
2009;main;Ralf Laemmel;University of Koblenz-Landau;Germany;;
2009;main;Michele Lanza;University of Lugano;Switzerland;;
