2007;main;Premkumar T. Devanbu;Univ. of California Davis;USA;
2007;main;Laura K. Dillon;Michigan State Univ.;USA;
2007;main;Sebastian Elbaum;Univ. of Nebraska Lincoln;USA;
2007;main;Michael Ernst;MIT;USA;
2007;main;Jacky Estublier;Grenoble Univ.;France;
2007;main;Harald Gall;Univ. of Zurich;Switzerland;
2007;main;Constance L. Heitmeyer;Naval Research Lab.;USA;
2007;main;James Herbsleb;Carnegie Mellon Univ.;USA;
2007;main;Paola Inverardi;Univ. dell'Aquila;Italy;
2007;main;Ignac Lovrek;Univ. of Zagreb;Croatia;
2007;main;Cecilia Mascolo;Univ. College London;U.K. ;
2007;main;Raffaela Mirandola;Politecnico di Milano;Italy;
2007;main;Kumiyo Nakakoji;Univ. of Tokyo/SRA-KTL Inc.;Japan;
2007;main;Alessandro Orso;Georgia Institute of Technology;USA;
2007;main;Corina Pasareanu;NASA Ames;;
2007;main;Sriram K. Rajamani;Microsoft Research;India;
2007;main;Wilhelm Schäfer;Univ. of Paderborn;Germany;
2007;main;Heinz Schmidt;RMIT University;Australia;
2007;main;Sebastian Uchitel;Univ. of Buenos Aires, Argentina / Imperial College London, U.K.;;
2007;main;André van der Hoek;Univ. of California Irvine;USA;
2007;main;Claes Wohlin;Blekinge Institute of Technology;Sweden;
2007;main;Alexander L. Wolf;Univ. of Lugano;Switzerland;
2007;main;Apostolos Zarras;Univ. of Ioannina;Greece;
2007;widenedSE;Judith Bishop;University of Pretoria;South Africa;
2007;widenedSE;Alan Hartman;IBM Research;Israel;
2007;widenedSE;Zhiming Liu;International Institute for Software Technology;United Nations University;Macao
2007;widenedSE;Ignac Lovrek;University of Zagreb;Croatia;
2007;widenedSE;Mary Lou Soffa;University of Virginia;USA;
2007;widenedSE;R Venkatesh;TATA Consultancy Services;India;
2007;widenedSE;Marlon Vieira;Siemens Corporate Research;USA;
2007;widenedSE;Dany Yankelevich;Pragma Consultores;Argentina	;
2007;widenedSE;Jian Zhang;Chinese Academy of Sciences;China;
2006;main;Michal Young;U. Oregon;;
2006;main;Premkumar T. Devanbu;U.C. Davis;;
2006;main;Cecilia Mascolo;University College London;UK;
2006;main;George Avrunin;University of Massachusetts;USA	 ;
2006;main;Nenad Medvidovic;University of Southern California;USA;
2006;main;Don Batory;UT Austin;USA	 ;
2006;main;Mira Mezini;TU Darmstadt;Germany;
2006;main;Antonia Bertolino;CNR I.S.T.I.;Italy	 ;
2006;main;Gail Murphy;University of British Columbia;Canada;
2006;main;Antonio Carzaniga;University of Lugano;Switzerland	 ;
2006;main;Kumiyo Nakakoji;University of Tokyo;Japan;
2006;main;Satish Chandra;IBM Research;New Delhi;India	 
2006;main;Harold Ossher;IBM Research;USA;
2006;main;Sebastian Elbaum;University of Nebraska;USA	 ;
2006;main;Corina Pasareanu;QSS/NASA Ames;USA;
2006;main;Anthony Finkelstein;University College London;UK	 ;
2006;main;Dewayne E. Perry;UT Austin;USA;
2006;main;Mary Jean Harrold;Georgia Tech;USA	 ;
2006;main;Gian Pietro Picco;Politecnico Di Milano;Italy;
2006;main;James Herbsleb;Carnegie Mellon University;USA	 ;
2006;main;Barbara G. Ryder;Rutgers University;USA;
2006;main;Katsuro Inoue;Osaka University;Japan	 ;
2006;main;Yannis Smaragdakis;Georgia Tech;USA;
2006;main;Valerie Issarny;INRIA;France	 ;
2006;main;Zhendong Su;UC Davis;USA;
2006;main;Jeffrey Kramer;Imperial College London;UK	 ;
2006;main;Sebastian Uchitel;University of Buenos Aires;Argentina;and Imperial College London;UK;;
2006;main;Shriram Krishnamurthi;Brown University;USA	 ;
2006;main;Andreas Zeller;Saarland University;Germany;
2006;ds;Daniela Damian;U. Victoria;;
2006;ds;Gail Murphy;University of British Columbia;Canada;
2006;ds;Debra Richardson;University of California;Irvine;USA
2006;ds;Laura K. Dillon;Michigan State University;USA;
2006;ds;Hausi Muller;University of Victoria;Canada;
2006;ds;Steve Fickas;University of Oregon;USA;
2006;ds;Nenad Medvidovic;University of Southern California;USA;
2006;ds;Steve Easterbrook;University of Toronto;Canada;
2006;posters;Dimitra Giannakopoulou;NASA;;
2006;rump;Martin Robillard;McGill U. ;;
2006;rump;Vibha Sazawal;Univ. of Maryland;;
2006;inspirations;Thorna Humphries;Norfolk State U.;;
2006;inspirations;André van der Hoek;U.C. Irvine;;
2006;posters;Jonathan Aldrich;Carnegie Mellon University;USA;
2006;posters;Cormac Flanagan;UC Santa Cruz;USA;
2006;posters;Dimitra Giannakopoulou;RIACS / NASA Ames;USA ;
2006;posters;Sarfraz Khurshid;UT Austin;USA;
2006;posters;Christine Julien;UT Austin;USA;
2006;posters;Julian Richardson;NASA Ames;USA;
2006;posters;Eric Wohlstadter;University of British Columbia;Canada;
2006;posters;Andrea Zisman;City University;UK;
2005;main;Michel Wermelinger;The Open University;UK;
2005;main;Harald Gall;University of Zurich;Switzerland;
2005;tutorials;Schahram Dustdar;Technical University of Vienna;Austria;
2005;ds;Wolfgang Emmerich;University College London;UK;
2005;demos;Michele Lanza;University of Lugano;Switzerland;
2005;main;Mikio Aoyama;Nanzan University;Japan;
2005;main;Antonia Bertolino;ISTI-CNR;Italy;
2005;main;Jan Bosch;Nokia Research Center;Finland;
2005;main;Gerardo Canfora;RCOST;University of Sannio;Italy
2005;main;Premkumar T. Devanbu;University of California Davis;USA;
2005;main;Matthew Dwyer;University of Nebraska;USA;
2005;main;Wolfgang Emmerich;University College London;UK;
2005;main;Jacky Estublier;Grenoble University;France;
2005;main;Pascal Fenkam;Technical University of Vienna;Austria;
2005;main;Anthony Finkelstein;University College London;UK;
2005;main;Carlo Ghezzi;Politecnico di Milano;Italy;
2005;main;Martin Glinz;University of Zurich;Switzerland;
2005;main;Paul Grünbacher;Johannes Kepler University Linz;Austria;
2005;main;Volker Gruhn;University of Leipzig;Germany;
2005;main;Paola Inverardi;Universitá dell’Aquila;Italy;
2005;main;Mehdi Jazayeri;Technical University of Vienna Austria & University of Lugano Switzerland;;
2005;main;Jeffrey Kramer;Imperial College London;UK;
2005;main;Philippe Kruchten;University of British Columbia;Canada;
2005;main;Nenad Medvidovic;University of Southern California;USA;
2005;main;Roland T. Mittermeir;Klagenfurt University;Austria;
2005;main;Carlo Montangero;Universitá di Pisa;Italy;
2005;main;Alessandro Orso;Georgia Institute of Technology;USA;
2005;main;Harold Ossher;IBM T.J. Watson Research Center;USA;
2005;main;Juan F. Ramil;The Open University;UK;
2005;main;David S. Rosenblum;University College London;UK;
2005;main;Wilhelm Schäfer;University of Paderborn;Germany;
2005;main;Sebastian Uchitel;Imperial College London;UK;
2005;main;André van der Hoek;University of California Irvine;USA;
2005;main;Claes Wohlin;Blekinge Institute of Technology;Sweden;
2005;main;Alexander L. Wolf;University of Colorado USA & University of Lugano Switzerland;;
2005;main;Andreas Zeller;Saarland University;Germany;
2005;ds;Daniel Berry;University of Waterloo;Canada;
2005;ds;Paola Inverardi;Universitá dell'Aquila;Italy;
2005;ds;Gregg Rothermel;University of Nebraska - Lincoln;USA;
2005;ds;Wilhelm Schäfer;University of Paderborn;Germany;
2005;demos;Jean-Marie Favre;University of Grenoble;France;
2005;demos;Houari Sahraoui;University of Montreal;Canada;
2005;demos;Margaret-Anne Storey;University of Victoria;Canada;
2004;main;Richard N. Taylor;University of California Irvine;USA;
2004;main;Matthew Dwyer;Univeristy of Nebraska-Lincoln;USA;
2004;main;Ken Anderson;University of Colorado;Boulder;USA 
2004;main;Annie Antón;North Carolina State University;USA ;
2004;main;Joanne M. Atlee;University of Waterloo;Canada ;
2004;main;Premkumar T. Devanbu;University of California;Davis;USA 
2004;main;Mary Jean Harrold;Georgia Institute of Technology;USA ;
2004;main;John Hatcliff;Kansas State University;USA ;
2004;main;James Herbsleb;Carnegie Mellon University;USA ;
2004;main;André van der Hoek;University of California Irvine;USA ;
2004;main;Paola Inverardi;University of L'Aquila;Italy ;
2004;main;Gregor Kiczales;University of British Columbia;Canada ;
2004;main;Jeffrey Kramer;Imperial College London;UK ;
2004;main;Shriram Krishnamurthi;Brown University;USA ;
2004;main;Shinji Kusumoto;Osaka University;Japan ;
2004;main;Axel van Lamsweerde;Université Catholique de Louvain;Belgium ;
2004;main;Bashar Nuseibeh;The Open University;UK ;
2004;main;Mauro Pezze;Universita' di Milano-Bicocca;Italy;
2004;main;Gian Pietro Picco;Politecnico di Milano;Italy ;
2004;main;David S. Rosenblum;University College London;UK ;
2004;main;Gregg Rothermel;University of Nebraska-Lincoln;USA;
2004;main;Wilhelm Schäfer;Universität Paderborn;Germany ;
2004;main;Douglas C. Schmidt;Vanderbilt University;USA ;
2004;main;Peri Tarr;IBM T.J. Watson;USA ;
2004;main;Frank Tip;IBM T.J. Watson;USA ;
2004;main;Willem C. Visser;NASA Ames Research Center;USA ;
2003;main;Jukka Paakki;University of Helsinki;Finland;
2003;main;Paola Inverardi;University of L'Aquila;Italy;
2003;main;Israel Ben-Shaul;Technion - Israel Institute of Technology;Israel;
2003;main;Antonia Bertolino;ISTI-CNR;Italy;
2003;main;Lionel Briand;Carleton University;Canada;
2003;main;Shing-Chi Cheung;University of Hong Kong;Hong Kong;
2003;main;Ivica Crnkovic;Mälardalen University;Sweden;
2003;main;Jacky Estublier;IMAG;France;
2003;main;Istvan Forgacs;MTA SZTAKI;Hungary;
2003;main;David Garlan;Carnegie Mellon University;USA;
2003;main;Carlo Ghezzi;Politecnico di Milano;Italy;
2003;main;Klaus Havelund;NASA Ames Research Center;USA;
2003;main;George T. Heineman;Worcester Polytechnic Institute;USA;
2003;main;Constance L. Heitmeyer;Naval Research Laboratory;USA;
2003;main;Valerie Issarny;INRIA;France;
2003;main;Jens H. Jahnke;University of Victoria;Canada;
2003;main;Mehdi Jazayeri;Technical University of Vienna;Austria;
2003;main;Kai Koskimies;Tampere University of Technology;Finland;
2003;main;Jeffrey N. Magee;Imperial College;London, UK;
2003;main;Carlo Montangero;University of Pisa;Italy;
2003;main;David Notkin;University of Washington;USA;
2003;main;Bashar Nuseibeh;The Open University;UK;
2003;main;Barbara Paech;Institut Experimentelles Software Engineering;Germany;
