2012;nier;Andrea Arcuri;Simula Research Laboratory, Norway Benoit Baudry, INRIA, France
2012;nier;Steffen Becker;University of Paderborn, Germany
2012;nier;Gordon Blair;Lancaster University, UK
2012;nier;Cristian Cadar;Imperial College London, UK
2012;nier;Marsha Chechik;University of Toronto, Canada
2012;nier;Charles Consel;INRIA / University of Bordeaux, France
2012;nier;Ivica Crnkovic;Mälardalen University, Sweden
2012;nier;Rocco De Nicola;IMT Lucca and University of Firenze, Italy
2012;nier;Alan Dearle;University of St Andrews, UK
2012;nier;Premkumar Devanbu;UC Davis, USA
2012;nier;Sebastian Elbaum;University of Nebraska - Lincoln, USA
2012;nier;Anthony Finkelstein;University College London, UK
2012;nier;James Herbsleb;Carnegie Mellon University, USA
2012;nier;Valerie Issarny;INRIA, France
2012;nier;John Knight;University of Virginia, USA
2012;nier;Fabio Kon;University of Sao Paulo, Brazil
2012;nier;Patricia Lago;VU University Amsterdam, The Netherlands
2012;nier;Michele Lanza;University of Lugano, Switzerland
2012;nier;Yves Le Traon;University of Luxembourg, Luxembourg
2012;nier;Sam Malek;George Mason University, USA
2012;nier;Phil McMinn;University of Sheffield, UK
2012;nier;Manoel Mendonça;Federal University of Bahia, Brazil
2012;nier;Raffaela Mirandola;Politecnico di Milano, Italy
2012;nier;Sandro Morasca;Università dell'Insubria, Italy
2012;nier;Bashar Nuseibeh;Lero, Ireland and The Open University, UK
2012;nier;Leon J. Osterweil;University of Massachusetts, USA
2012;nier;Massimo Paolucci;DOCOMO, Germany
2012;nier;Gian Pietro Picco;University of Trento, Italy
2012;nier;Andrew Rice;University of Cambridge, UK
2012;nier;Matthew J. Rutherford;University of Denver, USA
2012;nier;Walter Scacchi;UCI, USA
2012;nier;William L. Scherlis;Carnegie Mellon University, USA
2012;nier;Jeremy Siek;University of Colorado at Boulder, USA
2012;nier;Mary Lou Soffa;University of Virginia, USA
2012;nier;Peri Tarr;IBM T.J. Watson Research Center, USA
2012;nier;Massimo Tivoli;Universita dell’Aquila, Italy
2012;nier;Apostolos Zarras;University of Ioannina, Greece
2012;nier;Benjamin Zorn;Microsoft Research, USA
2011;main;Richard N. Taylor;University of California at Irvine, USA
2011;main;Don Batory;University of Texas at Austin, USA
2011;main;Lionel Briand;Simula Research Laboratory, Norway
2011;main;Gerardo Canfora;University of Sannio, Italy
2011;main;Antonio Carzaniga;University of Lugano, Switzerland
2011;main;Betty Cheng;Michigan State University, USA
2011;main;Shing-Chi Cheung;Hong Kong University of Science and Technology, Hong Kong
2011;main;Vittorio Cortellessa;Universita dell’Aquila, Italy
2011;main;Prem Devanbu;UC Davis, USA
2011;main;Matt Dwyer;University of Nebraska - Lincoln, USA
2011;main;Alexander Egyed;Johannes Kepler University Linz, Austria
2011;main;Sebastian Elbaum;University of Nebraska at Omaha, USA
2011;main;Michael Ernst;University of Washington at Seattle, USA
2011;main;Harald Gall;University of Zurich, Switzerland
2011;main;Alessandro Garcia;PUC-Rio, Brazil
2011;main;David Garlan;Carnegie Mellon University, USA
2011;main;Carlo Ghezzi;Politecnico di Milano, Italy
2011;main;William Griswold;University of California at San Diego, USA
2011;main;Volker Gruhn;University of Leipzig, Germany
2011;main;Tibor Gyimothy;University of Szeged, Hungary
2011;main;John Hatcliff;Kansas State University, USA
2011;main;Mats Heimdahl;University of Minnesota, USA
2011;main;Katsuro Inoue;Osaka University, Japan
2011;main;Paola Inverardi;Universita dell’Aquila, Italy
