2007;main;Peter Sestoft;IT University of Copenhagen;Denmark;
2007;main;Jeremy Siek;University of Colorado at Boulder;USA;
2007;main;Tony Sloane;Macquarie University;Australia;
2007;main;Kevin J. Sullivan;University of Virginia;USA;
2007;main;Peri Tarr;IBM Thomas J. Watson Research Center;USA;
2006;main;Stanislaw Jarzabek;National University of Singapore;Singapore;
2006;main;Douglas Schmidt;Vanderbilt University;USA;
2006;main;Todd Veldhuizen;Indiana University;USA;
2006;main;Giuseppe Attardi;University of Pisa;Italy;
2006;main;Elisa Baniassad;Chinese University of Hong Kong;China;
2006;main;Don Batory;University of Texas at Austin;USA;
2006;main;Ira Baxter;Semantic Designs;USA;
2006;main;Shigeru Chiba;Tokyo Institute of Technology;Japan;
2006;main;Charles Consel;INRIA/LaBRI;France;
2006;main;Krzysztof Czarnecki;University of Waterloo;Canada;
2006;main;Aniruddha Gokhale;Vanderbilt University;USA;
2006;main;Jeff Gray;U. of Alabama Birmingham;USA;
2006;main;George Heineman;Worcester Polytechnic Institute;USA;
2006;main;Zhenjiang Hu;University of Tokyo;Japan;
2006;main;H.-Arno Jacobsen;University of Toronto;Canada;
2006;main;Oleg Kiselyov;FNMOC;USA;
2006;main;Fabio Kon;University of São Paulo;Brazil;
2006;main;Karl Lieberherr;Northeastern University;USA;
2006;main;Joe Loyall;BBN Technologies;USA;
2006;main;Mira Mezini;Darmstadt University of Technology;Germany;
2006;main;Torben Æ. Mogensen;DIKU;Denmark;
2006;main;Emir Pasalic;Rice University;USA;
2006;main;Calton Pu;Georgia Tech;USA;
2006;main;Tim Sheard;Portland State University;USA;
2006;main;Yannis Smaragdakis;Georgia Tech;USA;
2006;main;Michael Stal;Siemens;Germany;
2006;main;Peri Tarr;IBM TJ Watson;USA;
2006;main;Peter Thiemann;Freiburg University;Germany;
2006;main;Eelco Visser;Utrecht University;The Netherlands;
2005;main;Eugenio Moggi;Genova University;Italy;
2005;main;Robert Glück;University of Copenhagen;Denmark;
2005;main;Michael Lowry;NASA Ames Research Center;USA;
2005;main;Don Batory;University of Texas;USA;
2005;main;Ira Baxter;Semantic Designs;USA;
2005;main;Cristiano Calcagno;Imperial College London;UK;
2005;main;Premkumar Devanbu;University of California at Davis;USA;
2005;main;Ulrich W. Eisenecker;University Leipzig;Germany;
2005;main;Tom Ellman;Vassar College;USA;
2005;main;Robert Filman;NASA Ames Research Center;;
2005;main;Zhenjiang Hu;University of Tokyo;Japan;
2005;main;Patricia Johann;Rutgers University;USA;
2005;main;John Launchbury;Galois;USA;
2005;main;Anne-Francoise Le Meur;University of Science and Technology Lille;France;
2005;main;Hong Mei;Peking University;China;
2005;main;Nicolas Rouquette;NASA Jet Propulsion Lab;USA;
2005;main;William Scherlis;Carnegie Mellon University;USA;
2005;main;Yannis Smaragdakis;Georgia Institute of Technology;USA;
2005;main;Walid Taha;Rice University;USA;
2005;main;Todd Veldhuizen;Chalmers University of Technology;Sweden;
2004;main;Tim Sheard;OGI School of Science & Engineering at OHSU;USA;
2004;main;Gabor Karsai;Vanderbilt University;USA;
2004;main;Eelco Visser;Utrecht University;The Netherlands;
2004;main;Uwe Aßmann;Linkopings Universitet;Sweden;
2004;main;Don Batory;University of Texas;USA;
2004;main;Jan Bosch;Universiteit Groningen;The Netherlands;
2004;main;Jean Bezivin;Université de Nantes;France;
2004;main;Jim Cordy;Queen's University;Canada;
2004;main;Krzysztof Czarnecki;University of Waterloo;Canada;
2004;main;Mathew Flatt;University of Utah;USA;
2004;main;Robert Glück;University of Copenhagen;Denmark;
2004;main;George Heineman;Worcester Polytechnic Institute;UK;
2004;main;Michael Leuschel;University of Southampton;UK;
2004;main;Karl Lieberherr;Northeastern University;USA;
2004;main;Simon Peyton Jones;Microsoft Research;UK;
2004;main;Douglas R. Smith;Kestrel Institute;USA;
2004;main;Gabriele Taentzer;Technical University of Berlin;Germany;
2004;main;Todd Veldhuizen;Indiana University;USA;
2004;main;Kris de Volder;University of British Columbia;Canada;
2004;main;Dave Wile;Teknowledge Corp.;USA;
2004;main;Alexander Wolf;University of Colorado at Boulder;USA;
2003;main;Krzysztof Czarnecki;DaimlerChrysler Research and Technology;Germany;
2003;main;Frank Pfenning;Carnegie Mellon University;USA ;
2003;main;Yannis Smaragdakis;Georgia Institute of Technology;USA;
2003;main;Giuseppe Attardi;University of Pisa;Italy ;
2003;main;Don Batory;University of Texas;USA ;
2003;main;Ira Baxter;Semantic Designs;USA ;
2003;main;Ted Biggerstaff;softwaregenerators.com;USA ;
2003;main;Shigeru Chiba;Tokyo Institute of Technology;Japan ;
2003;main;Rowan Davies;University of Western Australia;Australia ;
2003;main;Premkumar Devanbu;University of California;Davis;USA 
2003;main;Ulrich W. Eisenecker;University of Applied Sciences Kaiserslautern;Germany ;
2003;main;Robert Glück;Waseda University;Japan ;
2003;main;Trevor Jim;AT&T Labs Research;USA ;
2003;main;Gregor Kiczales;University of British Columbia;Canada ;
2003;main;Kai Koskimies;Tampere University of Technology;Finland ;
2003;main;Julia Lawall;DIKU;University of Copenhagen;Denmark 
2003;main;Eugenio Moggi;DISI;University of Genova;Italy 
2003;main;Jim Neighbors;Bayfront Technologies;USA ;
2003;main;Calton Pu;Georgia Tech;USA ;
2003;main;Olin Shivers;Georgia Tech;USA ;
2003;main;Clemens Szyperski;Microsoft Research;USA ;
2003;main;Peter Thiemann;University of Freiburg;Germany ;
2003;main;Eelco Visser;Utrecht University;The Netherlands;
2002;main;Don Batory;U. T. Austin;USA ;
2002;main;Peter Knauber;Fraunhofer Institute;Germany;
2002;main;Jan Bosch;U. Groningen;The Netherlands ;
2002;main;Hausi Mueller;U. Victoria;Canada;
2002;main;Greg Butler;Concordia U.;Canada;
2002;main;Nenad Medvidovic;U. S. California;USA;
2002;main;Premkumar Devanbu;U. C. Davis;USA ;
2002;main;Wolfgang Pree;U. Salzburg;Austria;
2002;main;Cristina Gacek;U. Newcastle u. Tyne;UK ;
2002;main;Yannis Smaragdakis;Georgia Tech;USA;
2002;main;Stanislaw Jarzabek;N. U. Singapore;Singapore ;
2002;main;Douglas R. Smith;Kestrel Institute;USA;
2002;main;Kyo Kang;Pohang U.;South Korea;
2002;main;Craig Chambers;U. Washington;USA ;
2002;main;Gregor Kiczales;U. British Columbia;Canada;
2002;main;Shigeru Chiba;Tokyo Tech;Japan ;
2002;main;Martin Odersky;EPFL;Switzerland;
2002;main;Pierre Cointe;E. d. Mines de Nantes;France ;
2002;main;Calton Pu;Georgia Tech;USA;
2002;main;Charles Consel;INRIA;LaBRI;France
2002;main;Peter Thiemann;U. Freiburg;Germany;
2002;main;Dawson Engler;Stanford U.;USA ;
2002;main;Andrew Tolmach;Portland State University;USA;
2002;main;Siau Cheng Khoo;N. U. Singapore;Singapore ;
2002;main;Walid Taha;Rice U.;USA;
2001;main;Gilles Barthe;INRIA
2001;main;David Basin;Freiburg
2001;main;Don Batory;Texas
2001;main;Robert Glück;Waseda
2001;main;Nevin Heintze;Bell-Labs
2001;main;Eugenio Moggi;DISI
2001;main;Greg Morrisett;Cornell
2001;main;Flemming Nielson;Aarhus 
2001;main;David Sands;Chalmers
2001;main;Walid Taha;Yale 
2000;main;Cliff Click;Sun Micro Systems
2000;main;Rowan Davies;CMU
2000;main;Julia Lawall;DIKU
2000;main;Torben Mogensen;DIKU
2000;main;Suresh Jagannathan;NEC Research
2000;main;Tim Sheard;OGI
2000;main;Walid Taha;Chalmers
