Conference;Year;First Name;Last Name;Sex;Role
ASE;2002;David;Wile;Male;Program Chair
ASE;2001;Debra;Richardson;Female;General Chair
ASE;2001;Martin S.;Feather;Male;Program Chair
ASE;2001;Michael;Goedicke;Male;Program Chair
ASE;2000;Yves;Ledru;Male;General Chair
ASE;2000;Perry;Alexander;Male;Program Chair
ASE;2000;Pierre;Flener;Male;Program Chair
ASE;1999;Dorothy;Setliff;Female;General Chair
ASE;1999;Robert J.;Hall;Male;Program Chair
ASE;1999;Ernst;Tyugu;Male;Program Chair
ASE;1998;Alex;Quilici;Male;General Chair
ASE;1998;David F.;Redmiles;Male;Program Chair
ASE;1998;Bashar;Nuseibeh;Male;Program Chair
ASE;1997;Chris;Welty;Male;General Chair
ASE;1997;Michael;Lowry;Male;Program Chair
ASE;1997;Yves;Ledru;Male;Program Chair
FASE;2013;Vittorio;Cortellessa;Male;Program Chair
FASE;2013;Daniel;Varro;Male;Program Chair
FASE;2012;Juan;de Lara Jaramillo;Male;Program Chair
FASE;2012;Andrea;Zisman;Male;Program Chair
FASE;2011;Dimitra;Giannakopoulou;Female;Program Chair
FASE;2011;Fernando;Orejas;Male;Program Chair
FASE;2010;David S.;Rosenblum;Male;Program Chair
FASE;2010;Gabriele;Taentzer;Female;Program Chair
FASE;2009;Marsha;Chechik;Female;Program Chair
FASE;2009;Martin;Wirsing;Male;Program Chair
FASE;2008;Jose Luiz;Fiadeiro;Male;Program Chair
FASE;2008;Paola;Inverardi;Female;Program Chair
FASE;2007;Matthew B.;Dwyer;Male;Program Chair
FASE;2007;Antonia;Lopes;Female;Program Chair
FASE;2006;Luciano;Baresi;Male;Program Chair
FASE;2006;Reiko;Heckel;Male;Program Chair
FASE;2005;Maura;Cerioli;Female;Program Chair
FASE;2004;Michel;Wermelinger;Male;Program Chair
FASE;2004;Tiziana;Margaria-Steffen;Female;Program Chair
FASE;2003;Mauro;Pezze;Male;Program Chair
FASE;2002;Ralf-Detlef;Kutsche;Male;Program Chair
