2008;Ye Zhang 0002,Torben Amtoft Hansen,Flemming Nielson;From generic to specific: off-line optimization for a general constraint solver.;45-54;10;Technical papers 2;
2008;Tom Rothamel,Yanhong A. Liu;Generating incremental implementations of object-set queries.;55-66;12;Technical papers 2;
2008;Peter Gottschling,Andrew Lumsdaine;Integrating semantics and compilation: using c++ concepts to develop robust and efficient reusable libraries.;67-76;10;Technical papers 3;
2008;Ewen Denney,Bernd Fischer 0002;Generating customized verifiers for automatically generated code.;77-88;12;Technical papers 3;
2008;Jaakko Jarvi,Matthew A. Marcus,Sean Parent,John Freeman,Jacob N. Smith;Property models: from incidental algorithms to reusable components.;89-98;10;Technical papers 3;
2008;Erik Meijer;Fundamentalist functional programming.;99-100;2;Keynote address;
2008;Sven Apel,Christian Kastner,Christian Lengauer;Feature featherweight java: a calculus for feature-oriented programming and stepwise refinement.;101-112;12;Technical papers 4;
2008;Tetsuo Kamina,Tetsuo Tamai;Lightweight dependent classes.;113-124;12;Technical papers 4;
2008;Michael Lienhardt,Alan Schmitt,Jean-Bernard Stefani;Typing communicating component assemblages.;125-136;12;Technical papers 4;
2008;Christian Hofer,Klaus Ostermann,Tillmann Rendel,Adriaan Moors;Polymorphic embedding of dsls.;137-148;12;Technical papers 5;
2008;Julien Mercadal,Nicolas Palix,Charles Consel,Julia L. Lawall;Pantaxou: a domain-specific language for developing safe coordination services.;149-160;12;Technical papers 5;
2008;Sven Apel,Christian Kastner,Don S. Batory;Program refactoring using functional aspects.;161-170;10;Technical papers 6;
2008;Ilie Savga,Michael Rudolf,Sebastian Gotz,Uwe Assmann;Practical refactoring-based framework upgrade.;171-180;10;Technical papers 6;
2008;Vinay Kulkarni,Sreedhar Reddy;An abstraction for reusable MDD components: model-based generation of model-based code generators.;181-184;4;Technical papers 6;
2007;Markus Puschel;Can we teach computers to write fast libraries?;1-2;2;Keynote address;
2007;Martin Bravenboer,Eelco Dolstra,Eelco Visser;Preventing injection attacks with syntax embeddings.;3-12;10;Session 1;
2007;Yossi Gil,Keren Lenz;Simple and safe SQL queries with c++ templates.;13-24;12;Session 1;
2007;Jeroen Arnoldus,Jeanot Bijpost,Mark van den Brand;Repleo: a syntax-safe template engine.;25-32;8;Session 1;
2007;Georg Jung,John Hatcliff;A type-centric framework for specifying heterogeneous, large-scale, component-oriented, architectures.;33-42;10;Session 2;
2007;Michael Lienhardt,Alan Schmitt,Jean-Bernard Stefani;Oz/K: a kernel language for component-based open programming.;43-52;10;Session 2;
2007;Florence Maraninchi,Tayeb Bouhadiba;42: programmable models of computation for a component-based approach to heterogeneous embedded systems.;53-62;10;Session 2;
2007;Eric Van Wyk,August Schwerdfeger;Context-aware scanning for parsing extensible languages.;63-72;10;Session 3;
2007;Jaakko Jarvi,Matthew A. Marcus,Jacob N. Smith;Library composition and adaptation using c++ concepts.;73-82;10;Session 3;
2007;Bran Selic;Challenges in generating qos-constrained software implementations.;83-84;2;Keynote session;
2007;Miguel A. Laguna,Bruno Gonzalez-Baixauli,Jose Manuel Marques Corral;Seamless development of software product lines.;85-94;10;Session 4;
2007;Sahil Thaker,Don S. Batory,David Kitchin,William R. Cook;Safe composition of product lines.;95-104;10;Session 4;
2007;Salvador Trujillo,Maider Azanza,Oscar Diaz;Generative metaprogramming.;105-114;10;Session 4;
2007;Todd L. Veldhuizen;Parsimony principles for software components and metalanguages.;115-122;8;Session 5;
2007;Peter Pirkelbauer,Yuriy Solodkyy,Bjarne Stroustrup;Open multi-methods for c++.;123-134;12;Session 5;
2007;Ryan Culpepper,Matthias Felleisen;Debugging macros.;135-144;10;Session 5;
2007;Tetsuo Kamina,Tetsuo Tamai;Lightweight scalable components.;145-154;10;Session 6;
2007;Philip Weaver,Garrin Kimmell,Nicolas Frisby,Perry Alexander;Constructing language processors with algebra combinators.;155-164;10;Session 6;
2007;Pascal Fradet,Stephane Hong Tuan Ha;Aspects of availability.;165-174;10;Session 7;
2007;Ilie Savga,Michael Rudolf;Refactoring-based support for binary compatibility in evolving frameworks.;175-184;10;Session 7;
2007;Victor L. Winter,Azamatbek Mametjanov;Generative programming techniques for Java library migration.;185-196;12;Session 7;
2006;Samuel N. Kamin,Baris Aktemur,Michael Katelman;Staging static analyses for program generation.;1-10;10;Staging;
2006;Marcos Viera,Alberto Pardo;A multi-stage language with intensional analysis.;11-20;10;Staging;
2006;Jonathan Riehl;Assimilating MetaBorg: : embedding language tools in languages.;21-28;8;Staging;
2006;Gabriel A. Moreno;Creating custom containers with generative techniques.;29-38;10;Components;
2006;Alexander Stuckenholz,Andre Osterloh;Safe component updates.;39-48;10;Components;
2006;John H. Reppy,Chunyan Song;Application-specific foreign-interface generation.;49-58;10;Components;
2006;Sven Apel,Don S. Batory;When to use features and aspects?: a case study.;59-68;10;Advanced aspects;
2006;Yoshisato Yanagisawa,Kenichi Kourai,Shigeru Chiba;A dynamic aspect-oriented system for OS kernels.;69-78;10;Advanced aspects;
2006;Remi Douence,Didier Le Botlan,Jacques Noye,Mario Sudholt;Concurrent aspects.;79-88;10;Advanced aspects;
2006;Eli Tilevich,Yannis Smaragdakis;Transparent program transformationsin the presence of opaque code.;89-94;6;Short papers;
2006;Jorge Claudio Cordeiro Pires Mascena,Silvio Romero de Lemos Meira,Eduardo Santana de Almeida,Vinicius Cardoso Garcia;Towards an effective integrated reuse environment.;95-100;6;Short papers;
2006;Frances Perry,Limin Jia,David Walker;Expressing heap-shape contracts in linear logic.;101-110;10;Safety and verification;
2006;Edwin Brady,Kevin Hammond;A verified staged interpreter is a verified compiler.;111-120;10;Safety and verification;
2006;Ewen Denney,Bernd Fischer 0002;A generic annotation inference algorithm for the safety certification of automatically generated code.;121-130;10;Safety and verification;
2006;Janina Reeder,Robert Giegerich;A graphical programming system for molecular motif search.;131-140;10;Applications;
2006;Daniel Fontijne;Gaigen 2: a geometric algebra implementation generator.;141-150;10;Applications;
2006;David Broman,Kaj Nystrom,Peter Fritzson;Determining over- and under-constrained systems of equations using structural constraint delta.;151-160;10;Applications;
2006;Peter Barron,Vinny Cahill;YABS: a domain-specific language for pervasive computing based on stigmergy.;285-294;10;Applications;
2006;Ralf Lammel,Klaus Ostermann;Software extension and integration with type classes.;161-170;10;Measurement and evaluation;
2006;Walter Binder,Jarle Hulaas;Flexible and efficient measurement of dynamic bytecode metrics.;171-180;10;Measurement and evaluation;
2006;Westley Weimer;Patches as better bug reports.;181-190;10;Measurement and evaluation;
2006;Salvador Trujillo,Don S. Batory,Oscar Diaz;Feature refactoring a multi-representation program into a product line.;191-200;10;Program families;
2006;Vander Alves,Rohit Gheyi,Tiago Massoni,Uira Kulesza,Paulo Borba,Carlos Jose Pereira de Lucena;Refactoring product lines.;201-210;10;Program families;
2006;Krzysztof Czarnecki,Krzysztof Pietroszek;Verifying feature-based model templates against well-formedness OCL constraints.;211-220;10;Program families;
2006;Gary T. Leavens,Jean-Raymond Abrial,Don S. Batory,Michael J. Butler,Alessandro Coglio,Kathi Fisler,Eric C. R. Hehner,Clifford B. Jones,Dale Miller,Simon L. Peyton Jones,Murali Sitaraman,Douglas R. Smith,Aaron Stump;Roadmap for enhanced languages and methods to aid verification.;221-236;16;Panel discussion;
2006;Christian Prehofer;Semantic reasoning about feature composition via multiple aspect-weavings.;237-242;6;Short papers;
2006;Rui Shi,Chiyan Chen,Hongwei Xi;Distributed meta-programming.;243-248;6;Short papers;
2006;Frederic Jouault,Jean Bezivin,Ivan Kurtev;TCS: a DSL for the specification of textual concrete syntaxes in model engineering.;249-254;6;Short papers;
2006;Zoltan Porkolab,Jozsef Mihalicza,Adam Sipos;Debugging C++ template metaprograms.;255-264;10;Compilation;
2006;Anya Helene Bagge,Valentin David,Magne Haveraaen,Karl Trygve Kalleberg;Stayin' alert: : moulding failure and exceptions to your needs.;265-274;10;Compilation;
2006;Manuel Fahndrich,Michael Carbin,James R. Larus;Reflective program generation with patterns.;275-284;10;Compilation;
2005;Oscar Nierstrasz,Stephane Ducasse,Serge Demeyer;Object-Oriented Reengineering Patterns - An Overview.;1-9;9;Invited Talks;
2005;Chris Allan,Pavel Avgustinov,Aske Simon Christensen,Laurie J. Hendren,Sascha Kuzins,Jennifer Lhotak,Ondrej Lhotak,Oege de Moor,Damien Sereni,Ganesh Sittampalam,Julian Tibble;abc: The AspectBench Compiler for AspectJ.;10-16;7;Invited Talks;
2005;Ewen Denney,Bernd Fischer 0002;Certifiable Program Generation.;17-28;12;Invited Talks;
2005;Charles Consel,Fabien Latry,Laurent Reveillere,Pierre Cointe;A Generative Programming Approach to Developing DSL Compilers.;29-46;18;Domain Specific Languages;
2005;Andrew Moss,Henk L. Muller;Efficient Code Generation for a Domain Specific Language.;47-62;16;Domain Specific Languages;
2005;Christophe Alias,Denis Barthou;On Domain-Specific Languages Reengineering.;63-77;15;Domain Specific Languages;
2005;Julia L. Lawall,Herve Duchesne,Gilles Muller,Anne-Francoise Le Meur;Bossa Nova: Introducing Modularity into the Bossa Domain-Specific Language.;78-93;16;Domain Specific Languages;
2005;Zhen Yao,Qilong Zheng,Guoliang Chen;AOP++: A Generic Aspect-Oriented Programming Framework in C++.;94-108;15;Aspect-Oriented Programming;
2005;Naoyasu Ubayashi,Tetsuo Tamai,Shinji Sano,Yusaku Maeno,Satoshi Murakami;Model Compiler Construction Based on Aspect-Oriented Mechanisms.;109-124;16;Aspect-Oriented Programming;
2005;Sven Apel,Thomas Leich,Marko Rosenmuller,Gunter Saake;FeatureC++: On the Symbiosis of Feature-Oriented and Aspect-Oriented Programming.;125-140;16;Aspect-Oriented Programming;
2005;Pengcheng Wu,Karl J. Lieberherr;Shadow Programming: Reasoning About Programs Using Lexical Join Point Information.;141-156;16;Aspect-Oriented Programming;
2005;Martin Bravenboer,Rob Vermaas,Jurgen J. Vinju,Eelco Visser;Generalized Type-Based Disambiguation of Meta Programs with Concrete Object Syntax.;157-172;16;Meta-programming and Transformation;
2005;Eric Tanter,Jacques Noye;A Versatile Kernel for Multi-language AOP.;173-188;16;Meta-programming and Transformation;
2005;Torben AE. Mogensen;Semi-inversion of Guarded Equations.;189-204;16;Meta-programming and Transformation;
2005;Saverio Perugini,Naren Ramakrishnan;A Generative Programming Approach to Interactive Information Retrieval: Insights and Experiences.;205-220;16;Generative Techniques;
2005;Baris Aktemur,Joel Jones,Samuel N. Kamin,Lars Raeder Clausen;Optimizing Marshalling by Run-Time Program Generation.;221-236;16;Generative Techniques;
2005;Yang Jun,Stanislaw Jarzabek;Applying a Generative Technique for Enhanced Genericity and Maintainability on the J2EE Platform.;237-255;19;Generative Techniques;
2005;Jacques Carette,Oleg Kiselyov;Multi-stage Programming with Functors and Monads: Eliminating Abstraction Overhead from Generic Code.;256-274;19;Multi-stage Programming;
2005;Jason Eckhardt,Roumen Kaiabachev,Emir Pasalic,Kedar N. Swadi,Walid Taha;Implicitly Heterogeneous Multi-stage Programming.;275-292;18;Multi-stage Programming;
2005;Samuel N. Kamin,Baris Aktemur,Philip Morton;Source-Level Optimization of Run-Time Program Generators.;293-308;16;Generative Techniques;
2005;Shan Shan Huang,David Zook,Yannis Smaragdakis;Statically Safe Program Generation with SafeGen.;309-326;18;Generative Techniques;
2005;Dirk Draheim,Christof Lutteroth,Gerald Weber;A Type System for Reflective Program Generators.;327-341;15;Generative Techniques;
2005;Krister Ahlander;Sorting Out the Relationships Between Pairs of Iterators, Values, and References.;342-356;15;Generative Techniques;
2005;Steffen Priebe;Preprocessing Eden with Template Haskell.;357-372;16;Components and Templates;
